text,label
@USER @USER @USER Please stop calling the losers “Elite”,1
@USER And I suggest using a Grand Jury to remove Holder and ALL the other vermin associated with the Obozo administration including Obozo himself! Mr. Sessions...DO YOUR JOB!,0
Kyky do u love me ? Are u in Anfield ? Putain la cliiimmmm LIVPSG,0
@USER I understand Annie she is stuck in between ! I understand her !,0
.@USER and I will be at the top of the ballot in the TX-36. Honored to be there with him. URL rockthe36 VoteDayna URL URL,0
@USER @USER Need help packing?,0
@USER TICK TOCK SWAMP !! YOUR GOING TO JAIL VERY SOON !! MAGA,1
@USER He is bluffing. He shouldn’t have brought it up. Now Trump need to insist or say it’s proof he is lying. Trump wins either way.,0
@USER @USER MAGA Make Alcatraz Great Again,0
@USER Good to see your hosting of the Emmys' bombed. Seems only Liberals like no humor. You won't be asked back. Career killer. You were Da rating tanking Bomb. Now go celebrate with your liberal pals.,1
@USER @USER Cuz I've never been insulted by Conservatives... ahahaha,0
@USER You voted to trigger Article 50. You are complicit.,1
@USER you are my favorite person on earth just so you know. If you’re ever hungry and want some food I bought a 40 count of bagel bites from steel yard Walmart and I won’t be able to eat them all by myself so please keep that in mind,0
@USER 2 ways for President Trump to lose in 2020. Gun control and an immigration bill with no wall.,1
@USER @USER She is a blind fool make America great again America first Americans understand the difference we the people voted for Donald J Trump the ex :clown_face: Obama policies was a complete failure let's seat back and enjoy the :clown_face: show starting Barack Obama,1
@USER @USER Thanks David. Was always helpful and inspiring when I was a student. He is greatly missed.,0
- Is Colin really that hot? - Yes he is! :smirking_face: URL,0
@USER Maybe he is trying to throw hints at Kaycee now to ease the blow if/when he picks Angela over Kaycee. Or he is just being reckless idk.,0
@USER Go home and sleep Johny.,0
@USER @USER Liberals don’t care who they destroy and leave in their wake! URL,0
Police? Banter Training? Oh my God! Fools and Tools. MAGA MEGA MBGA MCGA Conservatives Patriots URL,1
@USER Many products hit the shelves in the US first. Canada is not that big of a economy. In fact it is 10th in the world for all you liberals thinking that somehow we could strong arm the USA.,0
.@USER @USER This seems true. At least the damage Trump has done can be undone fairly quickly URL,0
@USER Whoa! :flushed_face: Resist Liberals FakeNews Democrats PP Antifa WomensMarch MaxineWaters Kavanaugh HillaryClinton MAGA Maddow VoteRed2018 The whole kitchen sink. :face_with_rolling_eyes: ,0
"""Why the world shouldn’t expect America to go back to ‘normal’ after Trump"""" URL TCOT MAGA RedNationRising""""""",0
@USER He needs a long look in the mirror,0
@USER I hope they will let Cem in America for now until Zeyal gets back together. So when he gets back Alihan can proudly show off she is off limit :face_with_tears_of_joy: yasakelma,0
@USER You are that mean ass cousin we all hate lol,1
@USER @USER to be reported to @USER for inciting VIOLENCE against Trump Supporters. He is making lists to target Trump Supporters for Antifa...,0
@USER Follback,0
@USER @USER TRUMP TRUMP TRUMP MAGA!,0
@USER Hey BenieSanders they all can't come to US! Come on. We have enough problems with your Antifa .,0
@USER Gotta keep that gun control law to get those terrorists,1
.@USER does not possess the wisdom to pass judgment on a honest man like Judge Kavanaugh. She has flawed and suspect judgment as manifested in her ill-advised years long affair with the likes of Mayor Willie Brown. She launched her career on her back. She is trashy. URL,0
@USER he is :woman_shrugging_medium_skin_tone: ,0
@USER can someone please explain to these liberals that it takes more than clapping and kneeling to actually make a real difference,0
@USER @USER @USER Chicago is the living proof that gun control doesn't work.,0
@USER @USER Not all of us Conservatives are that gullible. Manny has some good points now and then... but when he starts spewing US propaganda .. it sickens me. He asked for the term and I gave one... He'll have no rebuttal. You watch.,0
"""@USER @USER She knows something the liberals don't want to talk about. She said Canada was at risk"""" three times in the House of Commons before she crossed the aisle. Coming from someone of her background, I'd be inclineed to take the warning seriously. Call me old fashioned.""""""",0
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER They will try don’t want attention on released FISA documents,0
@USER I couldn’t agree more us conservatives need to take our country back. MAGA,0
@USER You are awesome! I am so thankful I know you!,0
Anything will Help. Thank you Patriots Maga and if you dont hear from me thanking any who help and share its bc im about to loose signal out here in the rain and batt will die so I gotta get to a place to plug in. Thanks again folks and God Bless URL,1
@USER I blame @USER for inciting violence and she should be held accountable! She is a despicable disgrace.,0
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Just a punk ass POS POG. THANK YOU KGO!! :red_heart: :thumbs_up: ,0
@USER @USER Sorry Howie she is horrible. I have been to Vegas multiple times and know the people whom spend their hard earned money for a vacation aren't going to waste said money on a scrawny kid whom will scream them into a migraine!! They come to Vegas to see REAL talent!AGTResults AGT,0
@USER hope all is well. Thats so fucked. Like seriously what the fuck is wrong with ppl now. Gun control is no issue though right. Thank God I live in Canada. Feel brutal for all the attacks in the U.S.A but seriously it won't go away.,1
ANTIFA Soy Boy just was not as tough as he imagined. It never turned out like this in the video games he played. URL,0
@USER Niggas wellin if they wanna live in a world with endless world wars and death and chaos. My Hero is literally anime X-men,1
@USER @USER Saddest thing I've read today is conservatives claiming Kavanaugh's presumed innocent. Wrong. This is a confirmation hearing where HE has to prove HE has the character to sit on the highest court for life. This isn't a criminal trial. - Tim Koontz,0
"""@USER I just said that very same thing. That Christians"""" create a life/death for Dr. Ford or Stormy Daniels who tell their stories, but I don't see (not counting Antifa) that happening from us to them. It's so weird. Not very Christ-like of them, at the least of it, and so vile, etc""""""",0
@USER i just gave Beto $100 and you all should as well. Trump called Ted's wife ugly and he is still licking his boots for help with reelection.,1
@USER And here’s me fucking ya mom URL,1
@USER @USER She is your sister????,0
@USER Here he is! Peaking out of a Hizbollah flag. URL,0
@USER :winking_face: :smiling_face_with_heart-eyes: :face_blowing_a_kiss: You are welcome anytime my dear. :winking_face: :smiling_face_with_heart-eyes: :face_blowing_a_kiss: :face_blowing_a_kiss: ,0
@USER I’m 1001 you ass,1
Thanks God! maga URL,0
@USER @USER @USER She is a wart on society,1
15 signs that say you are an entrepreneur. Is this YOU? URL smb URL,0
@USER Perhaps the Myers House. Wynn runs Smithsgrove and he’s the leader of the Thorn cult. I used to think he was my friend until he revealed his true intentions. He is a madman!,1
@USER Another dumbass Democrat. One thing you have to say about this president is he’s not lazy. Another bullshit story as usual,1
@USER Just sick of everything being politicized and everything being presented as right/wrong good/evil. Used to be liberals and conservatives were viewed as generally good people with different approaches to achieving the same goal. Now it's 100% us and them.,0
@USER you are a legend and one of the best presenters on @USER We want to see!,0
@USER @USER @USER @USER What’s the difference between Antifa and the brown shirts? Nothing URL,0
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Following all Patriots :United_States: MAGA,0
@USER @USER @USER @USER That’s why Kitchens is here partner. He is Haley’s right hand man.,0
@USER Its @USER fault..she is cheat,0
@USER @USER @USER you are an amazing genius,0
@USER @USER @USER That's the point you waffle faced nob goblin,0
@USER Doomentio,0
@USER @USER Bloodsport who can forget the monologue by jackson describing this big monster. and to think he is in his 60's now,1
"""@USER But But But we need more gun control right? Oh wait... GUESS THAT DOESNT STOP CRIMINALS, only law abiding citizens. Which is known. So.... think on why they"""" want to CONTROL you and disarm you.""""""",1
@USER I do love you but don't give him an excuse..he isn't mentally ill he is a dangerous idiot!!!!,1
@USER Fartacus,0
@USER @USER @USER @USER @USER Chicago has strict gun control laws but the highest gun violence rate Detroit was owened by Unions and is now bankrupt Cali has the second highest welfare rate and is now the homeless capital of the developed world.,1
@USER You are only believing her Because she is a Women.,0
@USER Liberals also probably need more- culturally aware trolls!,1
@USER Funny. She had no problem sleeping her way into Congress.,0
"""@USER I want you to want me when you are clearheaded. Her eyebrows rose in question and challenge, waiting for his response.""""""",0
@USER Ok G you are hired. Hot yoga fixed it. Feels good as new!,0
Tories Labour GE2017 Conservatives Conservatives URL CCHQPress : : houses : PM natfednews: Today I can announce that new longer-term partnerships will be opened up to the most ambitious housing associations through a ground-breaking £2 billion initiative,0
@USER Why did the NDP and Liberals not give Doug Ford a standing ovation? Cause it was “not-worth-standing” :grinning_face: ,0
@USER @USER y’all bitches psycho,1
"""@USER @USER @USER @USER @USER @USER @USER Funny how 50s-70s weren't all that great"""" for black ppl, poc, women... maga wants to pretend there was this magical time, read all white &amp; men """"ruled"""". Irony is it wasnt even great for a lot of them if they werent rich. That whole draft into war thing for one.""""""",0
@USER //HE IS A DETECTIVE SO I MEAN I GUESS THEY COULD WORK TOGETHER,0
@USER The next Call of Duty game should also take the opportunity to tackle the gun control issue. :face_with_rolling_eyes: ,0
@USER @USER Of course they are. She either agrees to testify on Mon or they vote on Friday and life moves on until the next obstruction from the lunatic liberals,0
"""@USER The crap they come up with as excuses"""" comes from dogooodthers, lawyers, lefties, liberals who commit their time to assisting and helping these criminals. No excuses mate, you committed a crime, you pay for it, hard and long!""""""",0
@USER @USER @USER Because the non-citizens are looking for a free ride on the backs of the American taxpayer and liberals are looking for votes. It's like a pyramid. They need to bring new people in at the bottom to support them at the top.,0
@USER School food ass anyways :face_with_tears_of_joy: :face_with_tears_of_joy: ,0
@USER The only reason Ford is receiving any threats is because liberals exposed her when she asked to be anonymous,0
@USER Sounds like a great ad for gun control,0
@USER @USER @USER Exactly. I haven’t watched in two years and I refuse to. As a former @USER fan I think Jerry Jones is a disgrace to the people who have helped make him as rich as he is.,1
.@USER is staffed with unhinged Liberals &amp; @USER This is a disgusting statement. URL,1
"""@USER @USER Her loss had nothing to do with race or with her being a woman. She is probably the greatest woman tennis player of all time. She has also, always been a temperamental, pampered multi-millionaire, and a sore loser. Serena, you have a great life. Please stop bullying people.""""""""""",0
@USER That much projection is even a doozy for far left democratic socialist antifa members - amazing!,0
@USER Antifa girl of the month centrefold!,0
Of course Spooky Dude is connected to Kavanaugh hit job URL MAGA Teaparty TrumpTrain CCOT PJNET Trump2018 Kavanaugh KavanaughConfirmationHearing ConfirmKavanaugh,0
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Yelp. I lost confidence in them when they gave a local staple a good review. The hamburger was fucking grey. I swear to god. Grey!,0
@USER @USER Why? He is messed up.,0
@USER @USER Good god woman. Shut up. If you liberals really believed this @USER would have spoke out against this the day she received the letter.,1
"""@USER @USER If Isaac is 6'7 now how fucking tall is that guy behind you my dude""""""",1
@USER This is a premeditated attack by Democratic liberals and she is being rehearsed. Enough of the scam show. Vote Kavanaugh to SC.,1
@USER They're still building and hiding nukes but yeah your pops got played like the udiot he is.,1
@USER Good grief Texas don't vote for this guy.,0
@USER @USER She has received death threats and has teenage daughters. She is protecting her family,1
DianneFeinstein proves what 2nd Amendment supporters have long known about gun control laws URL URL,0
@USER She is beautiful!!! God bless you both :folded_hands: ,0
@USER Eric ur no Jeff sessions!!,0
@USER Srsly it sucks. When ur living life it’s full of bullshit rules we just gotta suck up to survive,1
@USER @USER @USER he is duel citizen ok.,0
@USER I cackle at something different shit every time I watch it lol,1
